college_id,college_name,college_type,location,affiliated_university,year_established,accreditation,courses_offered,degree_programs_offered,government_funding,mode_of_study,hostel_facilities,tuition_fees,scholarships_available,contact_number,email_address,website_url,admission_process,placement_assistance,student_capacity,region,infrastructure,ranking,college_type.1,accredited_by,last_updated,min_percentage_required,entrance_exam_required,has_entrance_exam,apply_link,min_qualification
HRY001,government college hisar,arts & science,hisar,chaudhary devi lal university,1954.0,naac a,"b.a., b.sc., b.com, m.a., m.sc.","ug, pg",state government,regular,yes (boys & girls),8500,yes (sc/bc/ews/sports),01662-234567,gchisar@haryana.gov.in,www.gchisar.ac.in,merit + cdlu cet,yes,3500,hisar division,"labs, library, sports, computer center",12,Government,naac,2025-01-15,45,CDLU CET (PG),True,http://gchisar.edu.in/,"ug, pg"
HRY002,government college rohtak,arts & science,rohtak,maharshi dayanand university,1948.0,naac a+,"b.a., b.sc., b.com, m.a., m.sc., m.com","ug, pg",state government,regular,yes (boys & girls),7800,yes (sc/bc/ews/merit),01262-270123,gcrohtak@haryana.gov.in,www.gcrohtak.ac.in,merit + mdu cet,yes,4200,rohtak division,"smart classrooms, labs, auditorium, library",5,Government,naac,2025-01-20,50,MDU CET (PG),True,http://gpgcw.ac.in/,"ug, pg"
HRY003,rajkiya mahavidyalaya ambala city,arts & science,ambala,kurukshetra university,1960.0,naac b++,"b.a., b.sc., b.com",ug,state government,regular,yes (girls only),7200,yes (sc/bc/ews),0171-2630456,rmambala@haryana.gov.in,www.rmambala.ac.in,merit-based,no,2500,ambala division,"library, computer lab, sports",28,Government,naac,2025-02-01,45,No,True,http://gcambalacantthry.edu.in/,ug
HRY004,government college karnal,arts & science,karnal,kurukshetra university,1955.0,naac a,"b.a., b.sc., b.com, m.a., m.sc.","ug, pg",state government,regular,yes (boys & girls),8000,yes (sc/bc/ews/sports/ncc),0184-2260789,gckarnal@haryana.gov.in,www.gckarnal.ac.in,merit + ku cet,yes,3800,karnal division,"labs, library, ncc unit, sports complex",10,Government,naac,2025-01-25,45,KU CET (PG),True,http://ptclsgckarnal.ac.in/,"ug, pg"
HRY005,government college panipat,arts & science,panipat,kurukshetra university,1958.0,naac b+,"b.a., b.sc., b.com, m.a.","ug, pg",state government,regular,yes (boys),7500,yes (sc/bc/ews),0180-2640321,gcpanipat@haryana.gov.in,www.gcpanipat.ac.in,merit-based,no,2800,karnal division,"library, computer lab, playground",22,Government,naac,2025-02-10,45,No,True,http://dbggcpnp.ac.in/,"ug, pg"
HRY006,government polytechnic faridabad,polytechnic,faridabad,board of technical education haryana,1963.0,nba,"diploma in mechanical, civil, electrical, it, ece",diploma,state government,regular,yes (boys),12000,yes (sc/bc/ews/iti),0129-2291234,gpfaridabad@haryana.gov.in,www.gpfaridabad.ac.in,hstes polytechnic entrance,yes,1800,faridabad division,"workshops, labs, computer center",8,Government Polytechnic,nba,2025-01-30,35,HSTES Polytechnic,True,https://admissions.highereduhry.ac.in/Homewww.gpwfaridabad.edu.in/,diploma
HRY007,government college for women gurugram,women's college,gurugram,maharshi dayanand university,1972.0,naac a,"b.a., b.sc., b.com, bba, bca, m.a., m.com","ug, pg",state government,regular,yes (girls only),9000,yes (sc/bc/ews/merit),0124-2322567,gcwgurugram@haryana.gov.in,www.gcwgurugram.ac.in,merit + mdu cet,yes,3200,gurugram division,"smart labs, library, cafeteria, sports",7,Government Women's College,naac,2025-02-05,50,MDU CET (PG),True,http://gcggn.ac.in/,"ug, pg"
HRY008,rajkiya engineering college bhiwani,engineering,bhiwani,dcrust murthal,2010.0,nba,"b.tech (cs, me, ce, ee, ece)",ug,state government,regular,yes (boys & girls),68000,yes (sc/bc/ews/sports),01664-244100,recbhiwani@haryana.gov.in,www.recbhiwani.ac.in,jee main + hstes,yes,900,hisar division,"modern labs, wi-fi campus, library, hostels",18,Government Engineering College,nba,2025-01-10,60,JEE Main,True,http://gcbhiwani.ac.in/,ug
HRY009,government medical college nuh,medical,nuh,pgims rohtak,2018.0,nmc approved,mbbs,ug,state government,regular,yes (boys & girls),25000,yes (sc/bc/ews),01267-220456,gmcnuh@haryana.gov.in,www.gmcnuh.ac.in,neet ug + state counselling,yes,600,gurugram division,"hospital, labs, library, simulation center",15,Government Medical College,nmc,2025-02-15,50,NEET UG,True,https://admissions.highereduhry.ac.in/Homegmcmewat.ac.in/,ug
HRY010,government college sirsa,arts & science,sirsa,chaudhary devi lal university,1959.0,naac b++,"b.a., b.sc., b.com, m.a., m.sc.","ug, pg",state government,regular,yes (boys & girls),7600,yes (sc/bc/ews/sports),01666-247890,gcsirsa@haryana.gov.in,www.gcsirsa.ac.in,merit + cdlu cet,yes,3000,hisar division,"labs, library, sports ground, auditorium",20,Government,naac,2025-01-18,45,CDLU CET (PG),True,https://admissions.highereduhry.ac.in/Homegncsirsa.com/,"ug, pg"
