scholarship_id,scholarship_name,scholarship_id,ministry,scholarship_type,min_class,max_class,min_marks_required,annual_scholarship_amount,income_limit,eligible_category,apply_link,state,application_deadline,processing_time_days,renewal_eligible,hostel_allowance,book_allowance,monthly_stipend,is_haryana_eligible
SCHOL_00016,Ishan Uday Scholarship for NER,UGC_002,ugc,all,8th Pass,Research,50,10000,400000,ner students,ugc.ac.in,haryana,31-10-2026,33,FALSE,1500,702,833.3333333,TRUE
SCHOL_00017,Saksham Scholarship - Specially Abled (Degree),AICTE_004,aicte,technical degree,Undergraduate,Postgraduate,50,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,73,FALSE,201,1981,4166.666667,TRUE
SCHOL_00026,Post-Matric Scholarship for ST Students,NSP_007,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,st,scholarships.gov.in,haryana,31-10-2026,70,FALSE,2182,200,416.6666667,TRUE
SCHOL_00032,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,89,TRUE,863,742,416.6666667,TRUE
SCHOL_00038,ICAR Scholarship (Agricultural Studies),SPECIAL_004,department of agriculture,undergraduate,Undergraduate,Postgraduate,60,25000,600000,all,icar.org.in,haryana,31-10-2026,84,FALSE,1496,1254,2083.333333,TRUE
SCHOL_00059,West Bengal Post Matric Scholarship for SC/ST/OBC,STATE_WB_001,west bengal government,post-matric,10th Pass,Postgraduate,0,4800,250000,sc/st/obc,wbsed.gov.in,haryana,31-10-2026,77,TRUE,880,8th Pass,400,TRUE
SCHOL_00082,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,46,FALSE,245,1199,291.6666667,TRUE
SCHOL_00104,Pragati Scholarship Scheme - Girls (Degree),AICTE_002,aicte,technical degree,Undergraduate,Postgraduate,60,50000,600000,female,aicte-india.org,haryana,31-10-2026,55,FALSE,2388,550,4166.666667,TRUE
SCHOL_00107,Railway Scholarship Scheme,SPECIAL_003,ministry of railways,all,8th Pass,Postgraduate,0,8000,500000,railway wards,scholarships.gov.in,haryana,31-10-2026,87,TRUE,2489,1631,666.6666667,TRUE
SCHOL_00116,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,55,FALSE,417,114,416.6666667,TRUE
