course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
ITI Welder,Police Administration Intern,Haryana Transport Department,finance & accounts,sirsa,18,28,2,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
ITI Electrician,Urban Planning Intern,Haryana Renewable Energy Department,education,panipat,18,29,6,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
B.Tech Civil,Electrical Maintenance Intern,Haryana Education Department,education,ambala,19,27,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
ITI Electrician,Civil Site Intern,Haryana IT Department,energy,panipat,20,29,1,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
B.Pharmacy,Software Development Intern,Haryana Public Works Department,healthcare,ambala,18,25,4,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
B.Com,Hospital Administration Intern,Haryana IT Department,healthcare,gurgaon,20,30,3,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
M.Ed,Legal Research Intern,Haryana IT Department,public administration,gurgaon,20,23,2,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
M.Ed,Civil Site Intern,Haryana Revenue Department,education,jind,19,24,1,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
B.Ed,Transport Operations Intern,Haryana IT Department,education,karnal,21,26,4,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BSc Nursing,Water Resource Management Intern,Haryana IT Department,energy,chandigarh,20,22,2,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
MBA,HR Intern,Haryana Irrigation Department,energy,chandigarh,18,25,3,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Ed,Electrical Maintenance Intern,Haryana IT Department,it & digital,panipat,19,29,6,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
LLB,Social Welfare Intern,Haryana Public Works Department,education,sonipat,18,27,2,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
ITI Welder,Renewable Energy Intern,Haryana Health Department,finance & accounts,rohtak,19,27,2,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Tech Mechanical,Urban Planning Intern,District Administration Office,legal & judiciary,chandigarh,21,30,4,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
M.Ed,Banking Operations Intern,Haryana Urban Local Bodies,public administration,ambala,21,28,3,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Civil,Banking Operations Intern,Haryana Women & Child Development,it & digital,kaithal,20,25,3,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
LLM,Electrical Maintenance Intern,Haryana Renewable Energy Department,education,ambala,18,24,2,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Electrical,Agriculture Field Intern,Haryana IT Department,social welfare,karnal,20,25,1,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
BSc Agriculture,Urban Planning Intern,Haryana Education Department,finance & accounts,panipat,21,27,1,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,very_short
BA Economics,Junior Mechanical Intern,Haryana Renewable Energy Department,finance & accounts,rohtak,18,23,1,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,very_short
BA Economics,HR Intern,Haryana Urban Local Bodies,social welfare,gurgaon,18,25,4,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BA Economics,Electrical Maintenance Intern,District Administration Office,agriculture,gurgaon,19,26,3,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
LLM,Clinical Intern,Haryana Renewable Energy Department,public administration,bhiwani,18,26,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
B.Pharmacy,Hospital Administration Intern,Haryana Health Department,agriculture,kaithal,18,23,2,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Pharmacy,Clinical Intern,Haryana Agriculture Department,it & digital,ambala,20,28,3,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
MBA,Software Development Intern,Haryana Transport Department,public administration,sonipat,21,29,2,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Civil,Public Policy Intern,Haryana Urban Local Bodies,infrastructure,bhiwani,18,23,2,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
LLB,Electrical Maintenance Intern,Haryana Revenue Department,finance & accounts,bhiwani,19,25,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
BSc Environmental Science,Transport Operations Intern,Haryana Public Works Department,energy,sonipat,18,30,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BA Political Science,Electrical Maintenance Intern,Haryana Women & Child Development,finance & accounts,yamunanagar,18,23,6,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
LLB,Transport Operations Intern,District Administration Office,education,yamunanagar,20,28,2,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
ITI Welder,Software Development Intern,Haryana Irrigation Department,social welfare,faridabad,20,27,1,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,very_short
B.Tech Civil,Banking Operations Intern,District Administration Office,legal & judiciary,gurgaon,20,23,4,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
MCA,Junior Mechanical Intern,Haryana Public Works Department,agriculture,faridabad,18,24,3,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Civil,Renewable Energy Intern,Haryana Renewable Energy Department,infrastructure,jind,21,22,6,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
M.Ed,Urban Planning Intern,Haryana IT Department,social welfare,jind,18,27,1,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,very_short
ITI Fitter,Hospital Administration Intern,Haryana Skill Development Mission,finance & accounts,faridabad,20,27,2,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
D.Pharmacy,Civil Site Intern,District Administration Office,it & digital,bhiwani,18,28,4,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
LLB,Data Analyst Intern,District Administration Office,social welfare,gurgaon,19,26,4,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
MBA,Accounts Intern,Haryana Social Justice Department,finance & accounts,sonipat,18,25,3,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Civil,Urban Planning Intern,Haryana Women & Child Development,it & digital,jind,18,26,1,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
B.Tech Mechanical,Digital Governance Intern,Haryana Women & Child Development,finance & accounts,bhiwani,19,29,1,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
ITI Electrician,Clinical Intern,Haryana Health Department,public administration,gurgaon,19,28,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,short
B.Ed,Agriculture Field Intern,Haryana IT Department,legal & judiciary,sonipat,19,23,2,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Electrical,HR Intern,Haryana IT Department,energy,faridabad,21,29,4,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
B.Ed,Banking Operations Intern,Haryana Transport Department,agriculture,rohtak,20,30,4,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BSc Nursing,Urban Planning Intern,Haryana Health Department,finance & accounts,faridabad,20,28,1,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
D.Pharmacy,Social Welfare Intern,Haryana Police Department,social welfare,kaithal,18,29,3,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
B.Tech Mechanical,HR Intern,Haryana Women & Child Development,education,chandigarh,21,27,6,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
D.Pharmacy,Renewable Energy Intern,Haryana Education Department,healthcare,gurgaon,21,23,6,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
MBA,Electrical Maintenance Intern,Haryana Renewable Energy Department,social welfare,hisar,21,29,1,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
B.Tech Civil,Legal Research Intern,Haryana Agriculture Department,it & digital,jind,21,22,6,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Tech Computer Science,Water Resource Management Intern,Haryana Women & Child Development,it & digital,bhiwani,19,29,4,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
M.Ed,Data Analyst Intern,Haryana Urban Local Bodies,public administration,hisar,18,28,3,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
D.Pharmacy,Data Analyst Intern,District Administration Office,education,jind,21,25,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
ITI Fitter,Urban Planning Intern,Haryana Public Works Department,public administration,rohtak,18,23,4,15000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
ITI Welder,Clinical Intern,Haryana Police Department,social welfare,panipat,20,26,2,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
Diploma Mechanical,Electrical Maintenance Intern,Haryana Health Department,agriculture,jind,19,23,4,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
Diploma Mechanical,Police Administration Intern,Haryana Public Works Department,energy,kaithal,20,26,2,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc Agriculture,HR Intern,Haryana Women & Child Development,it & digital,faridabad,19,22,3,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
B.Tech Computer Science,Public Policy Intern,Haryana Police Department,education,sirsa,19,25,2,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
BSc Biotechnology,Hospital Administration Intern,Haryana Education Department,finance & accounts,bhiwani,18,24,4,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
LLB,Agriculture Field Intern,Haryana Renewable Energy Department,social welfare,kaithal,18,28,3,20000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
LLM,Police Administration Intern,Haryana Revenue Department,infrastructure,karnal,18,28,4,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
D.Pharmacy,Legal Research Intern,Haryana Education Department,healthcare,kaithal,19,24,2,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
D.Pharmacy,Data Analyst Intern,Haryana Education Department,finance & accounts,sirsa,19,23,2,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
Diploma Civil,Social Welfare Intern,Haryana Agriculture Department,legal & judiciary,jind,18,22,6,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
MBBS,Water Resource Management Intern,Haryana IT Department,energy,faridabad,21,24,3,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
D.Pharmacy,Renewable Energy Intern,Haryana Health Department,healthcare,yamunanagar,21,25,6,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
MCA,Public Policy Intern,Haryana Agriculture Department,it & digital,yamunanagar,21,23,2,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
B.Tech Computer Science,Accounts Intern,Haryana Revenue Department,public administration,faridabad,18,24,3,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
ITI Fitter,Water Resource Management Intern,Haryana Social Justice Department,it & digital,panipat,19,26,1,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
BSc Environmental Science,Electrical Maintenance Intern,Haryana IT Department,it & digital,bhiwani,18,29,6,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Civil,Social Welfare Intern,Haryana IT Department,agriculture,yamunanagar,19,22,3,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
BA Political Science,Transport Operations Intern,Haryana Urban Local Bodies,finance & accounts,hisar,19,28,2,10000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
ITI Electrician,Software Development Intern,Haryana Urban Local Bodies,legal & judiciary,panipat,19,23,3,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Electrical,Electrical Maintenance Intern,Haryana Renewable Energy Department,infrastructure,chandigarh,20,25,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
D.Pharmacy,Junior Mechanical Intern,Haryana Agriculture Department,finance & accounts,sirsa,18,27,6,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
Diploma Mechanical,Water Resource Management Intern,Haryana Skill Development Mission,social welfare,karnal,21,27,1,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
ITI Electrician,Agriculture Field Intern,Haryana IT Department,education,chandigarh,19,23,4,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
